Id,Location,Name,Category,Description,Latitude,Longitude,Altitude,Date verified,Open,Electricity,Wifi,Kitchen,Parking,Restaurant,Showers,Water,Toilets,Big rig friendly,Tent friendly,Pet friendly,Sanitation dump station,Outdoor gear,Groceries,Artisan goods,Bakery,Rarity in this area,Repairs vehicles,Repairs motorcycles,Repairs bicycles,Sells parts,Recycles batteries,Recycles oil,Bio fuel,Electric vehicle charging,Composting sawdust,Recycling center
11753,"Ranipool-Rumtek-Sang Rd, Sikkim 737135, India",Rumtek monastery (old building! ),Informal Campsite,"car park in front of monastery. ask the monks for staying overnight. good chance of using toilet with running water - if monks deny, in front of the main gate are parking slots, upstairs toilets available ",27.285626,88.561926,1616.862425256846,2017-02-18 00:00:00 UTC,Yes,No,No,No,,Unknown,No,Natural Source,No,Yes,Unknown,Unknown,,,,,,,,,,,,,,,,
11771,"Legship-Rabongla Rd, Sikkim 737139, India",Heliport Ravangla/Rabongla,Wild Camping,"big heliport, entry through a tibetian  gate, people sometimes use this place for campfires and beer sessions - if not, very quite and pleasant ",27.293262,88.357528,1913.0688864551184,2019-12-14 04:04:43 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
11773,"Damthang-Rabongla Rd, Sikkim 737139, India",Roadside Ravangla - Namchi ,Wild Camping,"Parking slot on green lawn, Mountain views",27.251426,88.374598,2162.490387229921,2019-03-18 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,
11792,"Unnamed Road, Deolo, Kalimpong, West Bengal 734316, India",Deolo Hill in Kalimpong - Sikkim ,Wild Camping,"Follow Deolo Cliff Eco Lodge sign, turnoff mainroad further uphill 500m, green spots on the left",27.086614,88.499594,1552.047220082151,2019-03-14 00:00:00 UTC,Yes,No,Yes - Slow,No,,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,
11961,"Kohima-Mokokchung Rd, Nagaland 798601, India",Izheto Village ,Informal Campsite,"Drive through big concrete gate until you arrive in the middle of the square or the soccer ground of the Christian  village. Ask Huska Sema for permission to stay, he is the head of the village and will be happy to welcome you! Very warm and friendly people. Almost everybody speaks English.",26.196907,94.419932,861.8257634347835,2020-01-14 00:00:00 UTC,Yes,No,No,No,,No,Unknown,Non-Potable,Pit Toilets,Yes,Unknown,Yes,,,,,,,,,,,,,,,,
12552,"Esplanade Rd, Esplanade, George Town, Chennai, Tamil Nadu 600104, India",NFA Marvel Logistics ,Vehicle Shipping,Shipping agent. 4th floor of SICCI building.,13.086144,80.284557,-78,2016-01-20 14:55:12 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12736,"CP Ramaswamy Iyer Rd, Sriram Colony, Abiramapuram, Chennai, Tamil Nadu 600018, India",Crossword Book Store,Shopping,"English lanuage book, magazine and stationery store. Stocks Lonely Planet and other travel guides.",13.03756,80.25674,-108,2016-01-25 00:00:00 UTC,Yes,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,
12750,"11/9, Mandavelipakkam, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India",Red Lollipop Hostel,Hostel,"Nice hotel in none tourist area of the city. Near bus and train stations.
Freindly helpful staff. No off street parking. Fast internet. ",13.027835,80.266415,-81,2016-01-28 08:32:16 UTC,Yes,Yes - At Sites,Yes - Fast,Yes,No,No,Hot,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
12821,"13th Cross St, Anna Nagar, Puducherry, Puducherry 605005, India",Hotel d' Europe,Hotel,"Basic rooms with hard beds and fan. 
A/C optional. Breakfast included and free bottle of water. Single rate with a/c 1400R Off street parking. ATM and shops neither by.",11.935714,79.808356,-69,2016-01-30 00:00:00 UTC,Yes,Yes - At Sites,Yes - Average,No,Yes,Yes,Warm,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
12857,"Sami Sannathi St, Gurunathan Pillai Colony, Darasuram, Kumbakonam, Tamil Nadu 612702, India",Airavatesvara Temple,Tourist Attraction,Great temple with no crowds. ,10.948717,79.357018,-43,2016-02-01 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12858,"Membalam Rd, Balaganapathy Nagar, Thanjavur, Tamil Nadu 613007, India",Brihadishwara Temple,Tourist Attraction,"Sign posted as the Big Temple. Impressive structure enclosed in fortified walls. 
There is a large free park car opposite. Can take trucks and coaches and anything else.",10.784529,79.134034,-69,2016-02-01 08:52:13 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12888,"Muthukumara Moopanar Rd, Graham Nagar, Shivaji Nagar, Thanjavur, Tamil Nadu 613001, India",Hotel Valli,Hotel,Off street parking with guard on flat concrete. Single bed room with fan and bathroom. 550R pn. ,10.780142,79.1415,-17,2016-02-02 06:14:04 UTC,Yes,Yes - At Sites,Yes - Slow,No,Yes,Yes,Hot,Non-Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
12889,"Super Bazaar, Singarathope, Devathanam, Tiruchirappalli, Tamil Nadu 620002, India",Parking for Rock for temple.,Tourist Attraction,This actual position is a dirt carpark which is a short walk from the Rock cut Temple. Access from Sinarathorp road. Not suitable for big rigs.,10.824837,78.695164,-37,2016-02-02 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12917,"Sri Ramakrishna Apartments, 29 A, Melur Rd, Sriramapuram, Srirangam, Tiruchirappalli, Tamil Nadu 620006, India",Parking for Sri Ranganathaswamy Temple,Tourist Attraction,There is street side parking for big rigs. The temple is a short walk through the west outer to gates and round to the North gate entrance.,10.863257,78.685611,2,2016-02-03 02:00:53 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12918,"N Avani Moola St, Madurai Main, Madurai, Tamil Nadu 625001, India",Parking for Sri Meenakshi Temple,Tourist Attraction,Dirt car park. 60rp charge. Attendant will give you a ticket to put in your window.,9.922213,78.120277,49,2016-02-03 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12919,"W Chitrai St, Madurai Main, Madurai, Tamil Nadu 625001, India",Roof top view of temple,Tourist Attraction,If you are brave enough to run the gauntlet of 3 floors of tourist trinkets then you can view the temple complex from the roof here. Building is called The Museum Company,9.919868,78.117954,37,2016-02-03 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
12920,"6-251,Periyar Nager, Peace Trust, Kanyakumari, Tamil Nadu 629702, India",Vedanta Wake Up (formally Viswa Residency),Hostel,"Clean and tidy rooms with ensuit bathroom. Common area with TV and roof top terrace view 360 views.
Secure off street dirt parking.
wifi in lobby only.
500rp for shared room with fan.",8.0839,77.54343,-27,2016-02-03 09:56:10 UTC,Yes,Yes - At Sites,Yes - Average,No,Yes,No,Cold,Non-Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
12975,"Papanasam Beach Rd, Varkala, Kerala 695141, India",Day parking at Varkala beach,Tourist Attraction,"50rp for a car all day parking. 
Opposite  to beer wine shop.",8.732599,76.706363,-75,2016-02-05 06:06:41 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,"Varkala Helipad Road, Varkala, Kerala 695141, India",The Palm Ayurvedic Beach Resort,Hotel,"Simple tidy rooms with ensuit bathroom. 650rp p/n for room with fan.
Access via dirt track leaving helicopter pad. Parking in court yard for 2 cars.",8.734584,76.705736,-70,2016-02-05 00:00:00 UTC,Yes,Yes - At Sites,Yes - Average,No,Yes,No,Cold,Non-Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
13140,"Fort House, Fort Kochi, Kochi, Kerala 682001, India",Maritime Hostel,Hostel,Good hostel with A/C dorms at 500rp per night. Free breakfast and easy walk to most sites in Fort Kochi. Helpful freindly staff. Only down side for overlanders is limited street parking..,9.96848,76.248352,-86,2016-02-10 02:17:14 UTC,Yes,Yes - At Sites,Yes - Average,Yes,Street Parking,No,Warm,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
13159,"Shalivahana Rd, Nazarbad, Mysuru, Karnataka 570010, India",The Mansion 1907,Hostel,Nice hostel in old building with parking. Not far from all the major sites.,12.309479,76.66404,665,2019-01-22 05:11:16 UTC,Yes,Yes - At Sites,Yes - Average,Yes,Yes,Yes,Hot,Potable,Running Water,No,Yes,Yes,,,,,,,,,,,,,,,,
13227,"F-10/A, Chamaraja Double Road, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",Parking at Mysore Palace,Tourist Attraction,Paid parking for visiting Mysore Place. Can take big rigs like trucks and coaches.,12.302774,76.655972,658,2016-02-13 02:14:49 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
13228,"Unnamed Road, Kola, Malpe, Karnataka 576108, India",Malpe Beach Parking,Informal Campsite,Parking strip for tourist buses next to beach and opposite Paradise Beach Resort. 50rp charge to park over night. Only ok if you sleep in your vehicle. Pay toilets near by. Plus street food near by at night.,13.359621,74.698285,-81,2016-02-13 02:29:30 UTC,Yes,No,No,No,,No,Cold,No,Running Water,Yes,No,Yes,,,,,,,,,,,,,,,,
13437,"Unnamed Road, Karnataka 583234, India",The Goan Corner,Hostel,Fantastic place with great friendly staff. Good location to ruins/temples and climbing. You can sleep on the roof top with mozzie net for 200rp or rent huts 700ish. The access path is a rough narrow track between paddy fields. So only motor bikes or cars with good ground clearance can get there.,15.340193,76.462081,352,2019-02-18 00:00:00 UTC,Yes,Yes - At Sites,Yes - Slow,No,Yes,Yes,Cold,Potable,Running Water,No,Yes,No,,,,,,,,,,,,,,,,
13619,"E-5, Dr Afonso Rd, Calangute, Goa 403516, India",Zostel Goa,Hostel,Nice hostel in old Portuguese house set in leafy grounds. Parking for two cars and 6 motorbikes. AC dorm 600rp a night. Free wifi and drinking water. Access is via narrow lane. ,15.538098,73.761712,-63,2016-02-22 00:00:00 UTC,Yes,Yes - At Sites,Yes - Average,Yes,Yes,Yes,Warm,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
13620,"Arrey Warrey Rd, Bhandarwada, Ganpati Pule, Maharashtra 415615, India",Wild Camp north of Ganpatipule ,Wild Camping,Grassy area with level patches of ground. Access is via salt pan and does have muddy patches. 4x4 only. Lots of mozzies. ,17.155033,73.265958,-13.43768311,2017-02-11 10:50:06 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
13792,"MH MSH 8, Chondeshwar, Maharashtra 431118, India",New Rajesh Hotel,Hotel,"2km down the road from the caves there are 4 hotels on the either side of the street. Room with fan 600rp, room with a/c 1200rp per night. Only 2g edge vodaphone mobile coverage. ",20.594996,75.722559,255,2016-03-11 04:02:25 UTC,Yes,Yes,Yes - Average,No,Yes,Yes,Warm,Potable,Running Water,Yes,No,No,,,,,,,,,,,,,,,,
13801,"Railway Station Rd, Baser Colony, Police Colony, Mandsaur, Madhya Pradesh 458001, India",Hotel Rituvan,Hotel,"Hotel with secure parking at rear. Locked gate at night. Deluxe double room (there cheapest room) is 1500rp a night. A/C, fan and warm water shower. Wifi on landing area.",24.06989,75.074397,423,2016-02-29 00:00:00 UTC,Yes,Yes - At Sites,Yes - Slow,No,Secure Parking,Yes,Warm,Potable,Running Water,Yes,No,No,,,,,,,,,,,,,,,,
13844,"RJ SH 32, Madhuban, Udaipur, Rajasthan 313001, India",Supermarket and beer shop,Shopping,Supermarket on corner with wine/beer shop opposite on other side of street. Fruit and veg also available from street stalls.,24.59744,73.69174,557,2016-03-01 00:00:00 UTC,Yes,,,,,,,,,,,,,Unknown,Yes,Unknown,Unknown,Unknown,,,,,,,,,,
13987,"Pushkar Rd, Pushkar, Rajasthan 305022, India",Honeydew Retreat,Hotel,"Great hotel with very friendly staff with good english. Limited off street parking on ramp. Can fix 2 4x4 cars. Real grass, pool and good wifi. Quiet area. Room 1100rp a night.",26.487983,74.566531,453,2016-03-04 00:00:00 UTC,Yes,Yes - At Sites,Yes - Fast,No,Yes,No,Hot,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
14047,"31, Shivaji Nagar, Suraj Nagar, Civil Lines, Jaipur, Rajasthan 302007, India",Doodle Hostel,Hostel,"Great place and friendly/helpful staff. Driveway parking for two cars. a/c Dorm 350 a night.

Driveway camping 100 pppn",26.905938,75.789039,383,2019-03-14 02:53:08 UTC,Yes,Yes - At Sites,Yes - Average,Yes,Yes,No,Warm,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
14167,"HIG-P 35, Taj Nagari Phase 1, Taj Nagari Phase 1, Telipara, Tajganj, Agra, Uttar Pradesh 282001, India",Zostel Agra,Hostel,Only 1.5km from the Taj Mahal and with  parking for two cars. This is a friendly hostel in convenient location. Dorm bed  350rp a night with fan.,27.164137,78.055565,122,2019-09-15 00:00:00 UTC,Yes,Yes - At Sites,Yes - Average,No,Yes,Yes,Warm,Potable,Running Water,No,No,No,,,,,,,,,,,,,,,,
14168,"Aasthan Devadayal Apartments, NH 121, Pant Colony, Shivlalpur Khazanchi, Uttarakhand 244715, India",Corbett Motel,Hotel,"User reports""bed not very clean. after few hour my legs itch""
Good motel close to Corbett Tiger Reserve. Tents with bathroom but no fan. 800rp, room with fan and hot water 1000rp. On-site restaurant with good food. They also run jeep tours into the park.",29.38489,79.12237,313,2023-06-13 00:00:00 UTC,Yes,Yes - At Sites,Yes - Average,No,Yes,Yes,Hot,Unknown,Running Water,Yes,No,No,,,,,,,,,,,,,,,,
14342,"Unnamed Road, Ithing, Manipur 795133, India",Hilltop Camp,Informal Campsite,Safe and Secure place to base yourself before entering Myanmar. No facilities,24.51992,93.80875,771.1403866057743,2020-01-27 03:15:50 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
14388,"SH 2, Himachal Pradesh 173229, India",Baran Kalan,Wild Camping,Wild camp just 50m off the road on outside of corner amoungst large rocks. High ground clear need to access site. Tight turn around so a 4x4 is as big as you can get in here. Flat terraces to pitch tents also. Traffic stops between 22:00 and 06:00. Good Vodafone 3G coverage.,30.846805,77.088116,1431,2016-03-11 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,
14432,"7, Lawrence Road, Joshi Colony, Amritsar, Punjab 143001, India",Lawrence Road. Airtel Shop,Wifi,"Vodafone store / Airtel Shop, State bank of India plus many more. The main shopping street in Amritsar.",31.64377,74.87659,194,2024-02-12 00:00:00 UTC,Yes,,Yes - Fast,,,,,,,,,,,,,,,,,,,,,,,,,
14433,"60, Majitha Rd, Sehaj Avenue, Amritsar, Punjab 143008, India",Charming Chicken,Restaurant,Great range of Chicken dishes plus some veg dishes too.,31.644345,74.884636,201,2019-02-21 08:14:19 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
14472,"Grand Trunk Road, Chhiddan, Punjab 143107, India",Last Indian Oil Gas Station,Fuel Station,48.7rp/lt for diesel.,31.616519,74.687803,189,2016-03-18 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
17208,"Unnamed Road, Dwarakanagar, Ullal, Karnataka 575020, India",Next to Ullal Beach,Wild Camping,For free. Sandy area. 4WD recommended. Little bit of garbage but ok.,12.800201,74.845136,10.168121337890625,2016-02-13 20:32:00 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
17209,"Kochi - Dhanushkodi Rd, Moolakadai, Munnar, Kerala 685612, India",Munnar Parking Area,Informal Campsite,Safe parking area. Security 24/7. 100 Rupees a night. 15 minutes walking distance to town. Tuk Tuk driver Raja is a very good help in Munnar. He knows a lot of places and has good information. His tel: 00919447830731,10.077082,77.063152,1437.105224609375,2024-02-22 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,,,
17210,"Munnar - Top Station Hwy, Silent Valley, Munnar, Kerala 685612, India",Gas Refill,Propane,110 Rupee/kg,10.087443,77.061675,1454.148438,2021-08-13 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
17212,"Bangalore Nilagiri Road, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",Post Office,Informal Campsite,Parking spot in front of the post office. Right next to the palace. ,12.302171,76.654302,750.238037109375,2016-03-05 10:44:12 UTC,Yes,No,No,No,,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,
17214,"NH13, Basanal, Karnataka 586117, India",A Plateau 200 Meter Next To The Highway,Wild Camping,"Very quiet, no garbage. 4 WD needed! ",17.068729,75.778482,617.1761474609375,2023-02-08 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
17215,"Unnamed Road, Deulgaon Gada, Maharashtra 412204, India",Behind Liebherr Company ,Wild Camping,Many options to park. 4WD required. Nice and quiet!! ,18.43945,74.362901,577.041259765625,2016-05-30 04:20:15 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
17217,"Central Park Jogging Path, Rambagh, Jaipur, Rajasthan 302005, India",Golf Court Parking Area,Informal Campsite,For free. Have to ask security. Next to a park with running track.,26.898707,75.801658,427.6998291015625,2023-03-12 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,
17218,"Hastings Rd, Shahzadi Mandi, Rakabganj, Agra, Uttar Pradesh 282001, India",The Hill Top Hotel,Informal Campsite,Parking spot behind the hotel. Very quiet. 200 INR per night. ,27.163225,78.022685,153.39569091796875,2024-01-25 00:00:00 UTC,Yes,No,Yes - Fast,No,,Yes,Cold,Non-Potable,Running Water,No,Yes,Yes,,,,,,,,,,,,,,,,
17219,"Allahabad - lucknow Rd, The Mall Avenue, Lucknow, Uttar Pradesh 226001, India",VVIP Guesthouse ,Informal Campsite,Parking lot right in front of the guesthouse. Unfortunately also next to a street but quiet at night. Very clean. Very safe. A lot of security. ,26.837349,80.950558,95.85699462890625,2016-04-04 09:46:06 UTC,Yes,No,No,No,,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,
17225,"Ambala Rd, Rajapan, Uttar Pradesh 247232, India",Finest Hours Restaurant ,Informal Campsite,Highly recommended parking area. Staff is extremely nice and take care of you. ,29.991737,77.473047,270.80706787109375,2019-04-02 06:22:03 UTC,Yes,No,No,No,,Yes,No,Non-Potable,Running Water,Yes,No,No,,,,,,,,,,,,,,,,
17460,"Swiss Hotel, Old Gagribal Road, Dal Gate, Sonwar Bagh, Srinagar, Srinagar (South), Jammu and Kashmir, 190003, India",Swiss Hotel Kashmir,Hotel,"SWISS HOTEL  KASHMIR .  A home of overland tourists.  
We are situated at one of Srinagar's most sophisticated, quite suburbs only two  kms from the Tourist Reception Center and a one minute walk from the world renounced Dal Lake. Our lush front garden with its chirping birds, green lawn and pretty flowers is the perfect place for quiet relaxation after a busy tourist day.? Enjoy all the amenities and ambience of the best of modern hotels and the constant attention of our trained, friendly and dedicated staff.

Im Hotel Swiss wurden wir nach langer staubiger Fahrt wie Freunde empfangen. A home far away from home....das ist die beste Beschreibung. Manager Rouf und sein Personal kümmern sich persönlich um jeden Gast. WiFi, Garten, ein guter Tee....sogar unser Hund war willkommen. Das Swisshotel können wir allen Overlandern uneingeschränkt empfehlen. 
Swiss Hotel Kashmir is an eco friendly and commission free hotel.",34.08673,74.84466,0,2024-09-20 21:17:08 UTC,Yes,Yes,Yes - Fast,Yes,Secure Parking,No,Hot,Potable,Running Water,Yes,Yes,Yes,,,,,,,,,,,,,,,,
18762,"SH 28, Baldun, Himachal Pradesh 176202, India",Outside Nurpur in riverbank,Wild Camping,"Depends on river level, possibility also at River View Hotel, no facilities, friendly neighbors, 3G internet available, trucks possible",32.314334,75.895582,505.4073486328125,2016-07-05 22:52:54 UTC,Yes,No,Yes - Fast,No,,No,No,Natural Source,No,Yes,No,Yes,,,,,,,,,,,,,,,,
18784,"Unnamed Road, Gandhiar, Himachal Pradesh 176306, India",Chamera Reservoir ,Wild Camping,"nice view over the lake above the dam. Only security personnel appeared and wish nice stay. No facilities. Springs could be found at street down from main road. Late night discussion with security staff because of safety and sensitive area, after calling to officer everything fine.",32.595797,75.983231,828.7099609,2016-07-07 15:03:24 UTC,Yes,Yes - At Sites,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
18840,"NH244, shamnot, Thathri, Doda district, Jammu and Kashmir, 182201, India",Riverbank next to Doda ,Wild Camping,"Near Police Post Karaha, east from village Doda at NH244,small track down to the riverbank, no visitors, no facilities we asked before at police checkpoint for overnight stay. Nature toilet. 50 m behind police station small general store and small river with clear water",33.131761,75.649958,894.45751953125,2016-07-09 10:24:56 UTC,Yes,No,No,No,,No,Hot,Natural Source,No,No,Yes,Yes,,,,,,,,,,,,,,,,
19371,"Kasal Morh, Patnitop Road, Kasal, Kasal Morh, Ramban, Ramban district, Jammu and Kashmir, 182142, India",Patnitop Forest Park,Informal Campsite,60 Rs. Entry Fee for VW camper. Big forest pick nick area with lots of hotels. Small road from entrance gate. Avoid weekend time because of party people. ,33.0802,75.333155,2068.139404296875,2016-07-10 09:38:58 UTC,Yes,No,Yes - Slow,No,,Yes,No,Potable,Pit Toilets,Yes,No,Yes,,,,,,,,,,,,,,,,
19372,"Tandi-Kishtwar Rd, Ruding, Himachal Pradesh 175133, India",SH26 Kilar Tandi Road - Between Trees,Wild Camping,go down south side from Main Street to the river bank. Small unpacked road. Great area with lots of trees and close to the river bank. No disturbing by anybody. Nice sunset and sunrise. Beautiful place. 2.800 m attitude ,32.603389,76.931889,2828.8,2023-05-16 00:00:00 UTC,Yes,No,No,No,,No,No,Natural Source,No,No,Yes,Yes,,,,,,,,,,,,,,,,
19415,"Manali-Leh, Leh Tehsil, Leh district, Ladakh, India",NH 3 Manali-Leh Highway,Wild Camping,"Riverbank, clear water,4900m, silent place ",33.116225,77.663321,4898.435547,2024-07-27 00:00:00 UTC,Yes,No,No,No,,No,No,Natural Source,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
19530,"Solang Valley, Burwa, Himachal Pradesh 175131, India",Solang Valley,Wild Camping,a wasting campground with wasting facilities. It's used as parking place. Nice view into the mountains. Water tap you can find on small temple down the street. There are good possibilities to put up a tent. Some small restaurants and general stores nearby. No disturbance. No charging for parking. ,32.315851,77.159841,2443.152344,2016-07-25 01:54:38 UTC,Yes,No,Yes - Average,No,,Yes,No,Potable,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
